"","ticker","avg_volume"
"143","ENJU3.SA",1705650.52083333
"144","NEOE3.SA",2167902.30946882
"145","HBOR3.SA",812012.339630225
"146","VLID3.SA",536034.176446945
"147","MILS3.SA",1075356.04461415
"148","WIZC3.SA",1033779.09429066
"149","NGRD3.SA",1836393.12567132
"150","ORVR3.SA",420100.880580357
"151","ARML3.SA",618130.867346939
"152","TASA4.SA",852640.209405145
"153","JSLG3.SA",486771.8
"154","TRIS3.SA",766227.168006431
"155","PGMN3.SA",1032282.84760956
"156","PLPL3.SA",932038.430583501
"157","AGXY3.SA",164926.590330789
"158","SOJA3.SA",365495.508274232
"159","JALL3.SA",793826.463928968
"160","EVEN3.SA",1445265.58561093
"161","KRSA3.SA",598998.056994819
"162","ODPV3.SA",1660809.57033762
"163","VTRU3.SA",84598.5714285714
"164","MATD3.SA",560537.15651135
"165","SYNE3.SA",251534.866961415
"166","DESK3.SA",282496.084917617
"167","RCSL4.SA",171960.188504823
"168","PDGR3.SA",234251.41840836
"169","LAVV3.SA",986221.314741036
"170","ABCB4.SA",604133.65755627
"171","CAML3.SA",1326833.44867359
"172","FESA4.SA",953828.268488746
"173","AMBP3.SA",1259033.47600768
"174","FRAS3.SA",176074.421623794
"175","LEVE3.SA",334668.413585209
"176","LOGG3.SA",394740
"177","CSED3.SA",584822.828507795
"178","GRND3.SA",1326447.86093248
"179","AGRO3.SA",268963.360530547
"180","PNVL3.SA",288274.360932476
"181","BRBI11.SA",206334.465408805
"182","PTBL3.SA",965432.131028939
"183","ESPA3.SA",2716349.69767442
"184","SHUL4.SA",523820.45096463
"185","BLAU3.SA",385826.229508197
"186","TUPY3.SA",634592.612942122
"187","AERI3.SA",226669.665621735
"188","HBRE3.SA",236724.505494505
"189","TFCO4.SA",207702.992776058
"190","USIM3.SA",300365.398713826
"191","MEAL3.SA",2200459.68086817
"192","PRNR3.SA",234153.111305872
"193","ETER3.SA",712320.070337621
"194","PFRM3.SA",261034.318327974
"195","INEP4.SA",48091.0256410256
"196","RNEW4.SA",105146.698872786
"197","ROMI3.SA",465574.081189711
"198","LAND3.SA",66794.7164948454
"199","TAEE4.SA",139425.776566758
"200","BMOB3.SA",629612.360801782
"201","VITT3.SA",309750.355731225
"202","LUPA3.SA",637923.525723473
"203","ELMD3.SA",191229.352678571
"204","DMVF3.SA",158284.442270059
"205","ALPK3.SA",171838.961038961
"206","TGMA3.SA",304769.601688103
"207","TECN3.SA",576216.542202572
"208","VIVR3.SA",261481.029742765
"209","RPMG3.SA",54319.2813504823
"210","BIOM3.SA",24397.2479903537
"211","AVLL3.SA",7746.17945945946
"212","ESTR4.SA",13508.518488746
"213","SANB4.SA",77088.0196945338
"214","TCSA3.SA",553492.320337621
"215","ALLD3.SA",141919.091967404
"216","EUCA4.SA",68987.0916398714
"217","TPIS3.SA",210940.180064309
"218","PDTC3.SA",94564.4405144694
"219","CSUD3.SA",170234.873794212
"220","BRKM3.SA",15050.2873794212
"221","BOBR4.SA",85805.1438906752
"222","DOTZ3.SA",14158.2909090909
"223","CAMB3.SA",53110.0343326886
"224","LOGN3.SA",384985.610530547
"225","WHRL4.SA",21077.5618971061
"226","HAGA4.SA",49439.6045016077
"227","BMEB4.SA",24837.3938906752
"228","UNIP3.SA",17850.3440514469
"229","PMAM3.SA",133847.586414791
"230","AALR3.SA",417377.49490835
"231","LVTC3.SA",165185.104591837
"232","TELB4.SA",15918.8798231511
"233","UCAS3.SA",138371.749196141
"234","PTNT4.SA",18439.538585209
"235","EALT4.SA",22887.9742765273
"236","ALUP4.SA",19907.2832832833
"237","NINJ3.SA",309677.93764988
"238","CTSA4.SA",17905.5723472669
"239","WEST3.SA",585231.884057971
"240","RSID3.SA",250630.307073955
"241","MNDL3.SA",6564.00482315113
"242","BRSR3.SA",7393.60932475884
"243","BPAC3.SA",16198.1474767271
"244","EQPA3.SA",37741.8810289389
"245","CEBR3.SA",4102.89389067524
"246","EPAR3.SA",3768.18488745981
"247","OFSA3.SA",18626.525974026
